,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10
category_1,1.0,0.8300067939009905,0.8280185308087648,0.03788696921389678,0.9200600577635631,0.015752863980758147,0.0010171755478820543,0.7751261471613371,0.8397683286828029,0.6391442381757585
category_2,0.8300067939009905,1.0,0.6245034233558943,0.03282429831869771,0.6036178037463741,0.4970533868240655,0.24887682512822606,0.5409449730111481,0.8046575334353893,0.11732791588072056
category_3,0.8280185308087648,0.6245034233558943,1.0,0.15298245036483782,0.7671014348457661,0.8150083734781817,0.5448290615791367,0.7101274643692301,0.45906311262530375,0.6746578040529879
category_4,0.03788696921389678,0.03282429831869771,0.15298245036483782,1.0,0.25753788407999034,0.8953146644932436,0.6168082936385121,0.9281232917477834,0.04460415836989329,0.2514651578442646
category_5,0.9200600577635631,0.6036178037463741,0.7671014348457661,0.25753788407999034,1.0,0.8253718401283092,0.25844133405898606,0.40981536000092333,0.49120472803591586,0.543912493776727
category_6,0.015752863980758147,0.4970533868240655,0.8150083734781817,0.8953146644932436,0.8253718401283092,1.0,0.7745495610848523,0.33784801659847064,0.3207014951832481,0.3881353078656383
category_7,0.0010171755478820543,0.24887682512822606,0.5448290615791367,0.6168082936385121,0.25844133405898606,0.7745495610848523,1.0,0.37934487670825967,0.24789609818344205,0.7580924996437811
category_8,0.7751261471613371,0.5409449730111481,0.7101274643692301,0.9281232917477834,0.40981536000092333,0.33784801659847064,0.37934487670825967,1.0,0.19457000875551822,0.9030758108426604
category_9,0.8397683286828029,0.8046575334353893,0.45906311262530375,0.04460415836989329,0.49120472803591586,0.3207014951832481,0.24789609818344205,0.19457000875551822,1.0,0.6444335912143273
category_10,0.6391442381757585,0.11732791588072056,0.6746578040529879,0.2514651578442646,0.543912493776727,0.3881353078656383,0.7580924996437811,0.9030758108426604,0.6444335912143273,1.0
